time,seed,eigh
108,31,2.7884723125662982
112,31,2.7730244520844294
116,31,3.917614069785353
120,31,3.1580874277069833
124,31,2.1457392556303074
128,31,5.189543579473008
132,31,1.963416399703638
136,31,3.4494316602456387
140,31,3.1733041121096117
144,31,2.3139183495657956
148,31,4.118261287833072
152,31,3.98238700630084
156,31,4.776579227045437
160,31,3.075355336957713
164,31,3.6129746223033905
168,31,2.595642650413144
172,31,9.029803158905509
176,31,5.571789332335821
180,31,7.938840655618087
184,31,2.471869512644284
188,31,2.7789802378677915
192,31,3.165503592436649
196,31,2.2130051172368383
200,31,2.246927619734643
204,31,2.9498662990017848
208,31,5.6659763325740125
212,31,3.9567175950902884
216,31,2.4366209590813432
220,31,3.2263942678052593
224,31,4.818364278545634
228,31,3.7795902418870395
232,31,5.040094395441472
236,31,6.646483943550275
240,31,3.0796007622743065
244,31,2.656176135502672
248,31,1.5333986691407429
252,31,2.8814764443172716
256,31,4.154228426462898
260,31,5.7437904980000996
264,31,6.535875121172679
268,31,8.15173574883782
272,31,2.4374149033346586
276,31,5.8418610963053785
280,31,5.097175746693935
284,31,7.263219116758814
288,31,5.183039177254468
292,31,5.454988980459567
296,31,10.847512900678167
300,31,2.544722868010394
304,31,3.6216405794201436
308,31,5.317519624998851
312,31,2.646615052682072
316,31,2.3261880275404114
320,31,8.00317475082929
324,31,2.3117084331168587
328,31,5.822502168432597
332,31,2.3942154999815095
336,31,3.344290497054707
340,31,5.754675754928129
344,31,3.2774165212061668
348,31,4.310782223274917
352,31,3.919370798140418
356,31,2.265250533151662
360,31,3.5142284667654775
364,31,2.373671616507973
368,31,3.5687516183975148
372,31,2.6657173530675
376,31,3.9374580131146444
380,31,4.722351137346613
384,31,2.413446843213206
388,31,6.319515340575077
392,31,2.9224551332115043
396,31,2.3040725859928712
0,5,1.6370791848031154
4,5,4.388438279832143
8,5,4.005814725036992
12,5,3.0370815607782236
16,5,3.635467691941179
20,5,3.286584517245538
24,5,2.545223957803797
28,5,9.356016007902792
32,5,3.012765836336969
36,5,2.7866417848461285
40,5,2.7244538954779336
44,5,2.6700622189749
48,5,3.554835685153597
52,5,3.1678149840862773
56,5,4.212436684659099
60,5,5.596334663659323
64,5,2.8694949385254245
68,5,2.4286900339363187
72,5,3.4591983031192277
76,5,4.489531544495451
80,5,3.134235138261429
84,5,4.4167040131610555
88,5,6.66606858571898
92,5,2.2279144588253197
96,5,1.8386955427055736
100,5,1.9184526939566242
104,5,2.031042451181872
108,5,2.452831619707871
112,5,2.7570689423846955
116,5,4.471864438052101
120,5,2.9314589368095523
124,5,3.2388846423586064
128,5,2.8254595389677504
132,5,2.76528845225176
136,5,3.5612724859808647
140,5,3.0098996163529943
144,5,3.508940136087852
148,5,5.952380724621139
152,5,3.823536197938298
156,5,5.992347256584968
160,5,4.993543494872484
164,5,2.97229281438713
168,5,2.02570358463347
172,5,10.770886021877216
176,5,6.9347819601444165
180,5,13.017244798245441
184,5,2.9328322167202105
188,5,2.9973499048259433
192,5,3.1243580365616235
196,5,6.7810557284177895
200,5,2.3519155165918986
204,5,2.793656886860503
208,5,4.113737528606877
212,5,2.9450648931395143
216,5,3.120891467887644
220,5,4.438823623349482
224,5,5.857220680065656
228,5,2.4829012111819835
232,5,5.128583413185946
236,5,7.234020263969961
240,5,3.4755053289957982
244,5,1.9386853963947848
248,5,2.6510308662721016
252,5,2.2086728683791796
256,5,4.243178647265876
260,5,5.135072432982333
264,5,3.078024220945832
268,5,12.585955357796328
272,5,2.552165812159744
276,5,2.4559783949390455
280,5,7.535008643904866
284,5,7.897136041117887
288,5,5.7146854811852466
292,5,6.943862721546948
296,5,6.174552104071759
300,5,3.568789071923193
304,5,3.425109956825071
308,5,3.916794255846717
312,5,4.617419767158624
316,5,2.2859375736145737
320,5,6.036776711886548
324,5,2.199770683560138
328,5,4.655422200463112
332,5,2.2326377494550913
336,5,2.9795248073439633
340,5,4.211279183706291
344,5,11.616680546765055
348,5,2.8865971021089254
352,5,2.6480900206951654
356,5,2.3469300001780184
360,5,5.9658403898648364
364,5,1.84246266956988
368,5,7.884165594743472
372,5,2.0188868640431736
376,5,3.6929527300038827
380,5,4.107417625322496
384,5,2.4292945891759357
388,5,5.969108675657613
392,5,3.550003294130201
396,5,2.309541496850811
0,7,1.5338181386719547
4,7,5.170015844120247
8,7,4.152803438368562
12,7,4.007739772245695
16,7,4.533247947459623
20,7,3.949676382285782
24,7,1.9699077644711958
28,7,3.980223912381429
32,7,4.828553195496559
36,7,1.7739811731504884
40,7,3.5772971071053417
44,7,2.7189744247963286
48,7,3.6958699050161234
52,7,4.446759889585631
56,7,2.7125986635065114
60,7,2.892502650432004
64,7,3.5390656145532904
68,7,2.844407047304955
72,7,2.91590669387665
76,7,3.745722001444639
80,7,4.849623368067573
84,7,7.496936249085439
88,7,3.844202582049139
92,7,3.485284331599407
96,7,1.7447926403906528
100,7,2.533044302867706
104,7,2.51822826845657
108,7,3.049465272148042
112,7,2.7756436360917482
116,7,3.854251908913701
120,7,3.156810263532996
124,7,2.6717981344763495
128,7,4.541136162876826
132,7,2.0490592140903954
136,7,3.071199089396111
140,7,3.490934182791938
144,7,2.6272911217911012
148,7,2.9909909355712414
152,7,3.274972403865469
156,7,8.969771022564954
160,7,4.719432049502584
164,7,3.9532811782407102
168,7,2.438876880954575
172,7,6.330525129616385
176,7,10.424522295971412
180,7,7.973545415687906
184,7,3.1263609972334216
188,7,3.7022981411488005
192,7,2.848413456985708
196,7,2.15396153858696
200,7,2.014237944993894
204,7,2.4100616814632176
208,7,5.404659845024274
212,7,3.920841150349423
216,7,2.3456343125645898
220,7,14.108581654782975
224,7,4.548575036272362
228,7,3.0031165864242637
232,7,2.9075746465711614
236,7,3.5521839385982426
240,7,5.392356582640471
244,7,2.52691650338893
248,7,2.8848932252838635
252,7,2.620104693939758
256,7,4.5117521228038795
260,7,4.531116636447248
264,7,3.8581739204942305
268,7,4.816716370174749
272,7,2.301459739593381
276,7,11.187152423426978
280,7,5.937297053468344
284,7,7.2490766443721935
288,7,10.443069870680906
292,7,4.243363171518518
296,7,10.285267455840662
300,7,3.2878007641269957
304,7,4.496637981402981
308,7,3.981688616758504
312,7,4.005166730140249
316,7,2.63248883299601
320,7,4.116494620231374
324,7,2.8049797057154384
328,7,4.08611165970344
332,7,1.664782300255199
336,7,3.2702679696890793
340,7,3.8857464324349404
344,7,3.928624483825689
348,7,3.7117836053991247
352,7,2.4543479765656557
356,7,2.6748828043091133
360,7,3.894895032189863
364,7,2.020971930901221
368,7,4.255108811985479
372,7,2.6043392359672626
376,7,3.27403716257176
380,7,3.437737707035098
384,7,2.5207142260246758
388,7,5.327380937789215
392,7,2.6303491046799374
396,7,2.0370468632194245
